name,type,default_unit,category,note_au
Tomato,ingredient,pcs,veg,
Potato,ingredient,pcs,veg,
Carrot,ingredient,pcs,veg,
Brown onion,ingredient,pcs,veg,
Garlic clove,ingredient,pcs,veg,
Ginger,ingredient,pcs,veg,
Baby spinach,ingredient,grams,veg,
Broccoli floret,ingredient,grams,veg,
Chicken thigh,ingredient,grams,meat,
Pork belly,ingredient,grams,meat,
Beef mince,ingredient,grams,meat,
Bacon rasher,ingredient,grams,meat,
Egg,ingredient,pcs,other,
Milk,ingredient,ml,other,
Cheddar cheese,ingredient,grams,other,
Butter unsalted,ingredient,grams,other,
Olive oil,seasoning,ml,seasoning,
Vegetable oil,seasoning,ml,seasoning,
Light soy sauce,seasoning,ml,seasoning,
Dark soy sauce,seasoning,ml,seasoning,
Oyster sauce,seasoning,ml,seasoning,
Doubanjiang,seasoning,grams,seasoning,
Ketchup,seasoning,ml,seasoning,
BBQ sauce,seasoning,ml,seasoning,
Salt,seasoning,grams,seasoning,
White pepper,seasoning,grams,seasoning,
Sugar,seasoning,grams,seasoning,
Corn starch,seasoning,grams,seasoning,
Long-grain rice,ingredient,grams,staple,
Jasmine rice,ingredient,grams,staple,
Spaghetti,ingredient,grams,staple,
Penne pasta,ingredient,grams,staple,
Tortilla wrap,ingredient,pcs,staple,
Flour plain,ingredient,grams,staple,
Rolled oats,ingredient,grams,staple,
Bao bun,ingredient,pcs,staple,
Instant ramen block,ingredient,pcs,staple,
Fresh udon,ingredient,grams,staple,
Frozen puff pastry,ingredient,grams,staple,
Sesame oil,seasoning,ml,seasoning,
Vinegar white,seasoning,ml,seasoning,
Vinegar black,seasoning,ml,seasoning,
Chilli flakes,seasoning,grams,seasoning,
Curry powder,seasoning,grams,seasoning,
Five-spice powder,seasoning,grams,seasoning,
Italian herb mix,seasoning,grams,seasoning,
Honey,seasoning,ml,seasoning,
Maple syrup,seasoning,ml,seasoning,
Chicken stock cube,seasoning,pcs,seasoning,
Parsley dried,seasoning,grams,seasoning,
Basil fresh,seasoning,grams,seasoning,
Lemon,ingredient,pcs,other,
Lime,ingredient,pcs,other,
Orange,ingredient,pcs,other,
Avocado,ingredient,pcs,other,
Mushroom button,ingredient,grams,veg,
Zucchini,ingredient,pcs,veg,
Capsicum red,ingredient,pcs,veg,
Snow peas,ingredient,grams,veg,
Calamari rings,ingredient,grams,meat,
Salmon fillet,ingredient,grams,meat,
Prawn raw,ingredient,grams,meat,
Bread slice,ingredient,pcs,staple,
Hash brown,ingredient,pcs,staple,
Wok,tool,pcs,tool,Kitchen utensil
Saucepan,tool,pcs,tool,
Frying pan,tool,pcs,tool,
Baking tray,tool,pcs,tool,
Rice cooker,tool,pcs,tool,
Air-fryer,tool,pcs,tool,
Chef knife,tool,pcs,tool,
Cutting board,tool,pcs,tool,Kitchen utensil
